"file","mid","description","score"
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0064.png","/m/067_4k","4 100 metres relay",0.792075
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0064.png","/m/0849l","weightlifting",0.74956584
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0065.png","/m/06ntj","sports",0.98413521
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0065.png","/m/07bs0","tennis",0.96574205
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0065.png","/m/02xhr73","tennis player",0.93749654
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0065.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0065.png","/m/020m7t","ball game",0.77006394
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0066.png","/m/06ntj","sports",0.98306674
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0066.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0066.png","/m/07bs0","tennis",0.86132848
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0066.png","/m/09qf5","winter sport",0.66666669
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0067.png","/m/06ntj","sports",0.984468
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0067.png","/m/07bs0","tennis",0.95342332
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0067.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0068.png","/m/06ntj","sports",0.98437667
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0068.png","/m/07bs0","tennis",0.970848
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0068.png","/m/020m7t","ball game",0.9285714
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0068.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0069.png","/m/06ntj","sports",0.98477638
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0069.png","/m/07bs0","tennis",0.97170693
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0069.png","/m/020m7t","ball game",0.9285714
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0069.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_ACornet_FRA_vs_SZhang_CHN_WS232_clip.0070.png","/m/06ntj","sports",0.98564351
