"file","mid","description","score","boundingPoly.x1","boundingPoly.x2","boundingPoly.x3","boundingPoly.x4","boundingPoly.y1","boundingPoly.y2","boundingPoly.y3","boundingPoly.y4"
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0052.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0053.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0054.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0055.png","/m/0p58j","Australian Open Tennis Tournament",0.26987728,37,92,92,37,60,60,138,138
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0056.png","/m/0p58j","Australian Open Tennis Tournament",0.339037,37,109,109,37,73,73,140,140
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0057.png","/m/0p58j","Australian Open Tennis Tournament",0.43582663,37,109,109,37,50,50,140,140
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0058.png","/m/0p58j","Australian Open Tennis Tournament",0.20490459,48,96,96,48,105,105,143,143
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0058.png","/g/1hc2j4s0h","Datacom",0.18728894,56,163,163,56,291,291,317,317
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0059.png","/m/0p58j","Australian Open Tennis Tournament",0.15532413,41,109,109,41,131,131,143,143
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0060.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0061.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0062.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0063.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0064.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0065.png","/m/0p58j","Australian Open Tennis Tournament",0.31804204,37,109,109,37,74,74,140,140
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0066.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0067.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0068.png","/m/0z6tbx_","Australian Open Tennis Tournament",0.30299622,258,291,291,258,231,231,269,269
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0069.png","/m/0p58j","Australian Open Tennis Tournament",0.30615503,37,81,81,37,48,48,138,138
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0070.png","/m/0p58j","Australian Open Tennis Tournament",0.4230248,41,146,146,41,48,48,143,143
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0071.png","/m/0p58j","Australian Open Tennis Tournament",0.39430413,41,87,87,41,48,48,135,135
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0072.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0073.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0074.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0075.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0076.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0077.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
